96.02252539378495,405.0868902062865,2.0078706932003403,-2.7407141033498648,0.5329074519408095,0.3579830631002789,0.6717546579552061;64.3103368052177,418.0422626720892,1.93903011994069,0.3593776548875832,0.43444279778263434,0.43921941977057205,0.43921941977057205
213.66517089830063,798.0105550962343,1.27948671900227,0.5425090490191841,0.22504950148066374,0.19902661690234627,0.8843681749699261;211.58226738316355,766.3976566567776,1.34136989654897,-2.5863210618948433,0.6881231132774513,0.586894294814926,0.586894294814926
119.20103727736783,653.0466739154255,1.2930406146146662,1.3305707429510152,0.30917982222590684,0.28856882608090284,0.9333365418331075;63.23524695926547,517.3441506792166,1.684820102281904,-2.2547268044406428,0.949233162505341,0.5889694374479195,0.5889694374479195
145.61410653504709,644.0244814888639,1.0338845688339988,0.4886619787143203,0.3151338733265834,0.17421532230847114,0.5528295656364627;118.75079702469435,570.2068434401677,2.136460403826665,-2.847594841939772,0.23678461565199257,0.22229444376857435,0.22229444376857435
223.31350202350046,543.1661892220465,1.555785732343676,-1.0012224370861604,0.4823152505986293,0.23703938568243746,0.4914615189717393;85.56269619407713,501.1499635039396,1.8438845887051947,2.0795026914232455,0.3164601420099063,0.26068312720930636,0.26068312720930636
359.2698350877786,1001.0912842972913,1.3230201701347712,-2.624017833765685,0.419502207466888,0.20162197567036497,0.4806219659434791;336.2603937278365,1338.4691913409888,0.26816018444338985,0.4956774565875616,0.5320837848881625,0.3799651784603905,0.3799651784603905
290.12972772845876,637.3767225026421,1.2144078593107652,-3.074366528647049,0.3064814276338199,0.19753628486212998,0.6445293810695237;268.27244644903294,600.6126075735091,1.837520835715281,0.0858236335245041,0.7487698389666002,0.48608289640851016,0.48608289640851016
662.0464019085056,1136.3433544576217,1.1103801317831123,0.5975371939056023,0.3359223757718318,0.23765480740958542,0.7074694171935942;181.62749438342254,1052.6487598149727,0.14998147423310604,-2.4775924837284293,0.8397921966249865,0.5334097667586256,0.5334097667586256
211.1386644222226,566.0197158986603,1.3101410853581739,2.305985555686238,0.3179223347545365,0.30693387244415943,0.9654366456547914;114.30024069090855,604.3230342937459,1.5601665308532509,-0.8542650377153445,0.6600676382408973,0.4260141605652025,0.4260141605652025
349.3888913539041,665.0053036250838,0.9155384044797793,-1.4644302543954084,0.35708037588723385,0.24412207587723686,0.6836614173228347;90.08745681280394,581.5325301520114,2.014298344211105,1.3321483032314136,0.6427330658046297,0.5445153519364867,0.5445153519364867
276.88377388853957,777.8923784767659,0.5950097491832012,-3.068705464649993,0.3035905142210703,0.2474896792766629,0.8152088674827449;96.56134598792877,767.9556656220462,1.9179238626638468,0.18148021740725007,0.3396538329785412,0.34601256453546697,0.34601256453546697
142.25883883962953,487.3528532511121,1.675575584025014,-2.870268846901927,0.36858127693897613,0.2725669851032188,0.7395030679986118;85.69140115081528,476.26453874796306,1.8020039190311785,0.17115125935154693,0.8617576485869509,0.7773149930582292,0.7773149930582292
229.92021323493984,594.4490944950627,1.6216943355461872,-2.633348766784243,0.33351404487478803,0.22255879678552998,0.6673146159979132;66.78227357615364,600.529613537917,1.4381799911967228,0.411677017852227,0.710301877953678,0.5808188318935229,0.5808188318935229
430.85677323299694,713.7096488756824,0.6219941884873362,0.05088086837759547,0.06343714191248738,0.06154417526076698,0.9701599631595669;269.56101049365486,455.53486992944903,2.0733310964233134,-3.086550855122332,0.2998542549652629,0.17552177440391717,0.17552177440391717
238.1000521356459,624.6491326120608,2.248415522182865,-0.5848101704061605,0.41513559235146363,0.3814220536217768,0.9187890912009681;81.17850164914331,636.5989696575074,0.6245784461383602,2.3893199903348563,0.9494266632507927,0.7988219652464288,0.7988219652464288
65.74909185684618,815.8567518700818,0.49646996826927414,2.015217960766723,0.7757725347576512,0.7066277525380639,0.9108697728759011;58.86860208975987,865.9300173154872,1.9510027109946593,-1.1439688923914888,1.0315418584985436,0.8338410222681575,0.8338410222681575
178.0058664960215,451.1868698144927,2.2822414312669808,2.698614888012069,0.7493525503884697,0.6323424539278609,0.8438517405459555;91.27177713839028,540.0754076034198,1.3264378443638094,-0.33722191867886436,0.6325438666560161,0.48981015523071597,0.48981015523071597
192.39061924896433,567.5604405039168,1.4722539431685122,1.2264366652594711,0.5773884167972939,0.5236772268514699,0.9069756365329361;124.39003290456891,926.3681018439701,1.2130891460495352,-1.456114356450859,0.6026376875194882,0.5844648981995819,0.5844648981995819
83.76213101371872,522.5255586170307,2.110915665905403,-1.7628356189922905,0.5074845430191961,0.388977068248032,0.7664806221168368;78.06923352358515,500.10579224904006,1.1868192776243291,1.4189458291447876,1.0470263441111787,0.9141274709568191,0.9141274709568191
170.01097652798632,758.427155869303,1.6013633642126097,2.0992562956538174,0.57785158768372,0.3054375413140521,0.5285743741544058;98.96548583723664,524.0175637447661,1.577205327778443,-1.0785872779745822,0.4034586536658541,0.32206544159009937,0.32206544159009937
112.22301964837723,660.8614363843603,0.9694050513540587,-2.6438050039458374,0.5039575414488514,0.41176036860811915,0.8170536895317209;70.0840892571202,454.43486478592285,2.1509391084360097,0.3731820425183962,0.8427461882673384,0.7068447352522554,0.7068447352522554
230.98801293034623,550.3245403155215,1.1223770713096604,3.035649158759737,0.6930199350743521,0.7380383976082373,1.0649598377412552;158.3424753848401,615.2839437113569,2.0272671083412512,0.20406781183949219,0.480222751696141,0.3022911004129431,0.3022911004129431
281.32870787943034,554.18708899332,1.2188735406973394,-1.618448633741121,0.48198658319857823,0.3408764149281929,0.7072321653977491;82.37679971326162,471.2012060351713,2.160643822971163,1.619389177636957,0.4771906744279647,0.3446188533863569,0.3446188533863569
303.611605430358,625.9123601176126,1.7153515858389528,3.1242283277438285,0.3441108601627942,0.3233552107625516,0.9396832480369164;189.56142185487076,576.0885038293682,1.339324920389583,-0.1305666267665622,0.3104152512120131,0.31558286023560844,0.31558286023560844
97.94092484247996,541.5593050082326,1.4905852436426619,-2.49419796322893,0.8710602993838831,0.5811977897322322,0.6672302596540378;94.43240916126527,507.7433191091735,1.7350209656901847,0.6915548954580208,0.38722260134769787,0.39400211067232,0.39400211067232
126.8915392411962,459.52314345308,2.1968283521757006,-0.45996009907294877,0.4025681814315123,0.3686824778399714,0.9158261751561064;103.3895321925775,459.9509901163384,1.4500451183526393,2.675662065626125,0.9023058149650856,0.6378015074409688,0.6378015074409688
